Row ID,Order Date,Customer Name,Sales,Profit
1,2021-01-03,Darren Powers,16.448,5.5512
2,2021-01-04,Phillina Ober,3.54,-5.487
3,2021-01-04,Phillina Ober,11.784,4.2717
4,2021-01-04,Phillina Ober,272.736,-64.7748
5,2021-01-05,Mick Brown,19.536,4.884
6,2021-01-06,Maria Etezadi,2573.82,746.4078
7,2021-01-06,Maria Etezadi,5.48,1.4796
8,2021-01-06,Jack O'Briant,12.78,5.2398
9,2021-01-06,Maria Etezadi,609.98,274.491
10,2021-01-06,Maria Etezadi,31.12,0.3112
11,2021-01-06,Maria Etezadi,6.54,3.0084
12,2021-01-06,Lycoris Saunders,19.44,9.3312
13,2021-01-06,Maria Etezadi,755.96,204.1092
14,2021-01-06,Maria Etezadi,391.98,113.6742
15,2021-01-07,Vivek Sundaresam,76.728,-53.7096
16,2021-01-07,Vivek Sundaresam,10.43,-18.2525
17,2021-01-09,Melanie Seite,9.344,1.168
18,2021-01-09,Melanie Seite,31.2,9.75
19,2021-01-10,Anthony Jacobs,51.94,21.2954
20,2021-01-10,Anthony Jacobs,2.89,1.3583
21,2021-01-11,Seth Vernon,9.94,3.0814
22,2021-01-13,Brian Dahlen,333.999,3.9294
23,2021-01-13,Natalie DeCherney,545.94,87.3504
24,2021-01-13,Brian Dahlen,19.9,6.567
25,2021-01-13,Michael Moore,3.438,-2.5212
26,2021-01-13,Chris Selesnick,5.64,2.7072
27,2021-01-13,Chris Selesnick,50.94,25.47
28,2021-01-13,Chris Selesnick,11.36,5.3392
29,2021-01-13,Michael Moore,37.408,13.0928
30,2021-01-13,Chris Selesnick,572.58,34.3548
31,2021-01-13,Brian Dahlen,1325.85,238.653
32,2021-01-13,Chris Selesnick,646.74,258.696
33,2021-01-14,Brendan Sweed,61.96,-53.2856
34,2021-01-15,Erica Hackney,149.95,65.978
35,2021-01-16,Delfina Latchford,127.104,28.5984
36,2021-01-16,Delfina Latchford,18.588,-13.6312
37,2021-01-16,Delfina Latchford,30.072,10.1493
38,2021-01-16,Delfina Latchford,124.2,-31.05
39,2021-01-18,David Wiener,64.864,6.4864
40,2021-01-19,Toby Swindell,181.47,-320.597
41,2021-01-19,Toby Swindell,32.34,-23.716
42,2021-01-19,Toby Swindell,108.72,36.693
43,2021-01-19,Toby Swindell,56.064,19.6224
44,2021-01-20,Hunter Lopez,1067.94,224.2674
45,2021-01-20,Xylona Preis,14.73,4.8609
46,2021-01-20,Xylona Preis,272.94,30.0234
47,2021-01-20,Hunter Lopez,38.6,11.58
48,2021-01-20,Mark Van Huff,19.3,5.79
49,2021-01-20,Xylona Preis,247.716,93.5816
50,2021-01-20,Hunter Lopez,22.96,6.6584
51,2021-01-20,Hunter Lopez,6.63,1.7901
52,2021-01-20,Xylona Preis,43.92,12.7368
53,2021-01-20,Xylona Preis,19.05,8.9535
54,2021-01-20,Muhammed MacIntyre,67.194,-51.5154
55,2021-01-20,Xylona Preis,29.7,13.365
56,2021-01-20,Hunter Lopez,23.34,10.9698
57,2021-01-20,Mark Van Huff,19.36,9.2928
58,2021-01-20,Xylona Preis,13.98,4.0542
59,2021-01-20,Xylona Preis,66.58,15.9792
60,2021-01-20,Hunter Lopez,699.93,181.9818
61,2021-01-21,Tom Boeckenhauer,25.248,4.1028
62,2021-01-21,Jane Waco,24.3,10.45
63,2021-01-21,Jane Waco,9.48,3.79
64,2021-01-21,Jane Waco,31.4,13.19
65,2021-01-21,Jane Waco,6.48,3.11
66,2021-01-21,Jane Waco,209.5,58.66
67,2021-01-23,Speros Goranitis,5.94,0
68,2021-01-23,Ionia McGrath,40.08,19.2384
69,2021-01-26,Carol Adams,141.96,39.7488
70,2021-01-26,Shirley Daniels,12.42,4.4712
71,2021-01-26,Shirley Daniels,62.82,30.7818
72,2021-01-26,Carol Adams,10.68,5.0196
73,2021-01-26,Shirley Daniels,16.68,8.34
74,2021-01-26,Shirley Daniels,19.44,9.3312
75,2021-01-26,Shirley Daniels,489.92,0
76,2021-01-26,Shirley Daniels,187.98,52.6344
77,2021-01-26,Shirley Daniels,155.35,0
78,2021-01-27,Ed Jacobs,333,-16.65
79,2021-01-27,Ed Jacobs,36.44,12.0252
80,2021-01-27,Ed Jacobs,57.23,14.3075
81,2021-01-28,Jasper Cacioppo,3.928,1.3257
82,2021-01-30,Mike Vittorini,10.56,4.752
83,2021-01-30,Mike Vittorini,229.94,6.8982
84,2021-01-31,Liz Carlisle,290.666,3.4196
85,2021-02-01,Bradley Drucker,468.9,206.316
86,2021-02-02,Eric Barreto,18.336,-12.224
87,2021-02-02,Cynthia Delaney,12.35,5.8045
88,2021-02-02,Eric Barreto,180.96,13.572
89,2021-02-03,Tom Boeckenhauer,13.272,4.3134
90,2021-02-03,Tom Boeckenhauer,83.84,27.248
91,2021-02-04,Mark Haberlin,17.248,6.0368
92,2021-02-04,Deborah Brumfield,82.896,29.0136
93,2021-02-04,Deborah Brumfield,34.24,16.0928
94,2021-02-06,Delfina Latchford,8.952,-14.7708
95,2021-02-06,Neil Ducich,15,7.2
96,2021-02-06,Neil Ducich,144.95,42.0355
97,2021-02-06,Neil Ducich,161.61,42.0186
98,2021-02-07,Chris Selesnick,64.96,9.744
99,2021-02-07,Cyma Kinney,115.36,49.6048
100,2021-02-08,Nathan Mautz,14.56,5.5328
101,2021-02-11,Guy Armstrong,60.89,15.2225
102,2021-02-11,Guy Armstrong,332.94,53.2704
103,2021-02-11,Natalie Fritzler,1256.22,75.3732
104,2021-02-11,Natalie Fritzler,17.46,8.2062
105,2021-02-11,Guy Armstrong,51.9,24.393
106,2021-02-11,Guy Armstrong,9.64,4.4344
107,2021-02-11,Guy Armstrong,14.94,6.8724
108,2021-02-11,Guy Armstrong,64.96,2.5984
109,2021-02-11,Natalie Fritzler,234.45,103.158
110,2021-02-12,Sanjit Chand,129.568,-24.294
111,2021-02-14,Marina Lichtenstein,81.96,22.9488
112,2021-02-14,Shui Tom,16.176,6.066
113,2021-02-14,Marina Lichtenstein,238.62,4.7724
114,2021-02-14,Marina Lichtenstein,239.97,86.3892
115,2021-02-15,Barry Französisch,21.36,7.209
116,2021-02-16,Michael Nguyen,7.96,-13.93
117,2021-02-16,Michael Nguyen,1.08,-1.728
118,2021-02-17,Delfina Latchford,54.208,8.8088
119,2021-02-18,Troy Blackwell,25.16,-11.322
120,2021-02-18,Aaron Bergman,12.624,-2.5248
121,2021-02-20,Linda Cazamias,20.32,6.9088
122,2021-02-20,Steven Roelle,12.96,6.2208
123,2021-02-20,Linda Cazamias,62.31,22.4316
124,2021-02-21,Tamara Manning,8.85,-13.7175
125,2021-02-22,Sue Ann Reed,19.44,9.3312
126,2021-02-23,Michael Grace,4.428,-6.8634
127,2021-02-23,Michael Grace,6.936,2.3409
128,2021-02-24,Jennifer Halladay,22.776,7.6869
129,2021-02-24,Jennifer Halladay,32.896,11.1024
130,2021-02-27,Joy Smith,19.456,3.4048
131,2021-03-01,Vicky Freymann,634.116,-172.1172
132,2021-03-01,Shahid Collister,362.25,0
133,2021-03-01,Dave Brooks,457.568,51.4764
134,2021-03-01,Shahid Collister,63.552,-34.9536
135,2021-03-01,Giulietta Weimer,376.509,-43.0296
136,2021-03-01,Shahid Collister,18.84,-3.5325
137,2021-03-01,Vicky Freymann,17.472,5.6784
138,2021-03-01,Shahid Collister,129.552,-22.6716
139,2021-03-01,Giulietta Weimer,137.352,8.5845
140,2021-03-01,Hallie Redmond,5.94,1.6038
141,2021-03-02,Kristina Nunn,11.36,5.3392
142,2021-03-02,Nicole Hansen,3.424,1.07
143,2021-03-02,Kristina Nunn,36.4,17.472
144,2021-03-02,Nicole Hansen,151.2,32.13
145,2021-03-03,Jill Stevenson,302.45,-199.617
146,2021-03-03,Eva Jacobs,626.352,-23.4882
147,2021-03-03,Sam Craven,176.772,-459.6072
148,2021-03-03,Ashley Jarboe,19.456,3.4048
149,2021-03-03,Anne Pryor,25.32,9.1785
150,2021-03-03,Anne Pryor,125.76,40.872
151,2021-03-03,Jill Stevenson,15.12,4.914
152,2021-03-03,Jill Stevenson,44.672,-10.0512
153,2021-03-03,Anne Pryor,9.99,4.5954
154,2021-03-04,Sanjit Chand,15.552,2.3328
155,2021-03-04,Clay Ludtke,354.9,17.745
156,2021-03-05,Aimee Bixby,59.52,15.4752
157,2021-03-05,Aimee Bixby,49.632,16.7508
158,2021-03-05,Aimee Bixby,97.82,45.9754
159,2021-03-05,Aimee Bixby,18.62,5.3998
160,2021-03-05,Aimee Bixby,479.97,177.5889
161,2021-03-07,Craig Molinari,436.704,21.8352
162,2021-03-07,Aaron Bergman,48.712,5.4801
163,2021-03-07,Craig Molinari,481.568,54.1764
164,2021-03-07,Craig Molinari,20.65,9.499
165,2021-03-07,Aaron Bergman,17.94,4.6644
166,2021-03-07,Nora Pelletier,107.648,33.64
167,2021-03-07,Craig Molinari,204.9,0
168,2021-03-07,Aaron Bergman,242.94,4.8588
169,2021-03-10,Kean Thornton,83.168,9.3564
170,2021-03-10,Scott Williamson,22.38,10.7424
171,2021-03-10,Kean Thornton,636.408,-15.9102
172,2021-03-11,Chloris Kastensmidt,8.32,2.288
173,2021-03-11,Filia McAdams,146.76,38.1576
174,2021-03-11,Richard Bierner,7.98,2.0748
175,2021-03-11,Chloris Kastensmidt,10.464,1.7004
176,2021-03-11,Filia McAdams,14.94,7.0218
177,2021-03-11,Kelly Andreada,108.92,49.014
178,2021-03-11,Filia McAdams,32.96,14.1728
179,2021-03-11,Filia McAdams,587.97,164.6316
180,2021-03-13,Nicole Fjeld,915.14,102.95
181,2021-03-13,Nicole Fjeld,327.76,91.77
182,2021-03-14,Christine Kargatis,1139.92,284.98
183,2021-03-14,Dean Katz,3.38,1.2506
184,2021-03-14,Jason Fortune-,33.088,11.1672
185,2021-03-14,Jason Fortune-,62.048,20.1656
186,2021-03-14,Neil Französisch,91.056,31.8696
187,2021-03-14,Dean Katz,10.56,4.752
188,2021-03-14,Rick Bensley,8.448,2.64
189,2021-03-14,Jason Fortune-,80.98,3.2392
190,2021-03-14,Jason Fortune-,21.36,5.7672
191,2021-03-14,Jason Fortune-,82.8,6.624
192,2021-03-14,Rick Bensley,574.91,156.047
193,2021-03-15,Alan Shonely,45.696,5.1408
194,2021-03-15,Alan Shonely,7.218,-5.5338
195,2021-03-15,Alan Shonely,43.188,-31.6712
196,2021-03-15,Alan Shonely,131.904,47.8152
197,2021-03-15,Alan Shonely,142.776,17.847
198,2021-03-16,Kristina Nunn,471.92,29.495
199,2021-03-17,Christine Phan,1071.576,-553.6476
200,2021-03-17,Christine Phan,1579.746,-447.5947
201,2021-03-17,Christine Phan,613.908,-122.7816
202,2021-03-17,Bradley Nguyen,93.78,36.5742
203,2021-03-17,Mark Haberlin,32.67,8.4942
204,2021-03-17,Annie Zypern,4.448,0.3336
205,2021-03-17,Bradley Nguyen,19.68,5.7072
206,2021-03-17,Bradley Nguyen,35.88,17.2224
207,2021-03-17,Mark Haberlin,30.44,14.9156
208,2021-03-17,Mark Haberlin,11.43,5.3721
209,2021-03-17,Bradley Nguyen,53.4,25.098
210,2021-03-17,Bradley Nguyen,47.18,23.59
211,2021-03-17,Christine Phan,155.04,75.9696
212,2021-03-17,Annie Zypern,5.184,1.8792
213,2021-03-17,Annie Zypern,15.552,5.4432
214,2021-03-17,Christine Phan,34.86,16.3842
215,2021-03-17,Mark Haberlin,16,7.68
216,2021-03-17,Mark Haberlin,12.96,6.3504
217,2021-03-17,Quincy Jones,126.624,41.1528
